time,weight,height,bmi,fatRate,bodyWaterRate,boneMass,metabolism,muscleRate,visceralFat
2023-09-12 08:58:13+0000,93.0,null,null,null,null,null,null,null,null
2023-10-25 19:42:44+0000,92.0,175.0,30.0,null,null,null,null,null,null
