date,deepSleepTime,shallowSleepTime,wakeTime,start,stop,REMTime,naps
2023-10-17,94,241,0,2023-10-16 22:10:00+0000,2023-10-17 05:11:00+0000,86,
2023-10-18,105,413,1,2023-10-17 22:12:00+0000,2023-10-18 08:01:00+0000,70,
2023-10-19,66,448,8,2023-10-18 22:18:00+0000,2023-10-19 08:44:00+0000,104,
2023-10-20,96,292,3,2023-10-19 22:56:00+0000,2023-10-20 07:01:00+0000,94,
"2023-10-21,0,0,0,2023-10-21 22:00:00+0000,2023-10-21 22:00:00+0000,0,""[{\""start\"":\""2022-01-08 00:37:54+0000\"",\""end\"":\""2022-01-08 00:38:43+0000\""}]"""
2023-10-22,77,357,3,2023-10-21 23:10:00+0000,2023-10-22 08:08:00+0000,101,
2023-10-23,83,310,0,2023-10-22 23:48:00+0000,2023-10-23 07:42:00+0000,81,
2023-10-24,77,379,2,2023-10-24 00:48:00+0000,2023-10-24 09:56:00+0000,90,
2023-10-25,59,315,6,2023-10-24 22:59:00+0000,2023-10-25 06:27:00+0000,68,
2023-10-26,79,348,11,2023-10-25 22:28:00+0000,2023-10-26 08:04:00+0000,138,
2023-10-27,61,274,24,2023-10-26 22:34:00+0000,2023-10-27 06:20:00+0000,107,
2023-10-28,0,0,0,2023-10-28 22:00:00+0000,2023-10-28 22:00:00+0000,0,
2023-10-29,0,0,0,2023-10-29 22:00:00+0000,2023-10-29 22:00:00+0000,0,
2023-10-30,112,322,16,2023-10-29 23:41:00+0000,2023-10-30 08:37:00+0000,86,
2023-10-31,83,296,0,2023-10-31 01:04:00+0000,2023-10-31 08:42:00+0000,79,
2023-11-01,76,396,2,2023-10-31 22:37:00+0000,2023-11-01 08:04:00+0000,93,
2023-11-02,99,392,5,2023-11-01 22:33:00+0000,2023-11-02 07:43:00+0000,54,
2023-11-03,56,388,2,2023-11-02 22:50:00+0000,2023-11-03 07:52:00+0000,96,
2023-11-04,75,333,0,2023-11-03 23:30:00+0000,2023-11-04 08:09:00+0000,111,
2023-11-05,84,421,0,2023-11-04 23:03:00+0000,2023-11-05 08:48:00+0000,80,
2023-11-06,76,384,17,2023-11-05 23:18:00+0000,2023-11-06 09:03:00+0000,108,
2023-11-07,42,295,12,2023-11-06 22:47:00+0000,2023-11-07 06:51:00+0000,135,
